"filename", "language", "BNF", "Markdown", "C++", "Makefile", "comment", "blank", "total"
"/home/blankheart0/Knight/Knight.ebnf", "BNF", 9, 0, 0, 0, 5, 7, 21
"/home/blankheart0/Knight/README.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"/home/blankheart0/Knight/Trial/ASTPrinter.cpp", "C++", 0, 0, 47, 0, 4, 17, 68
"/home/blankheart0/Knight/Trial/AbstractSyntaxTree.h", "C++", 0, 0, 54, 0, 4, 28, 86
"/home/blankheart0/Knight/Trial/Diagnostor.cpp", "C++", 0, 0, 20, 0, 0, 5, 25
"/home/blankheart0/Knight/Trial/Diagnostor.h", "C++", 0, 0, 14, 0, 0, 6, 20
"/home/blankheart0/Knight/Trial/Driver.cpp", "C++", 0, 0, 38, 0, 0, 9, 47
"/home/blankheart0/Knight/Trial/Makefile", "Makefile", 0, 0, 0, 12, 0, 9, 21
"/home/blankheart0/Knight/Trial/Parser.cpp", "C++", 0, 0, 104, 0, 4, 43, 151
"/home/blankheart0/Knight/Trial/Parser.h", "C++", 0, 0, 32, 0, 4, 11, 47
"/home/blankheart0/Knight/Trial/Scanner.cpp", "C++", 0, 0, 190, 0, 8, 54, 252
"/home/blankheart0/Knight/Trial/Scanner.h", "C++", 0, 0, 37, 0, 0, 12, 49
"/home/blankheart0/Knight/Trial/System.h", "C++", 0, 0, 7, 0, 0, 2, 9
"/home/blankheart0/Knight/Trial/Token.h", "C++", 0, 0, 71, 0, 12, 25, 108
"Total", "-", 9, 12, 614, 12, 41, 235, 923